,SID,gender,wave,age,pbip
1,809,Female,wave2,12.29,3
2,825,Female,wave1,10.19,2
3,827,Female,wave1,9.67,1
4,827,Female,wave2,12.55,1
5,830,Female,wave1,9.00,1
6,831,Female,wave1,9.00,1
7,925,Male,wave1,9.35,2
8,925,Male,wave2,12.38,2
9,927,Male,wave1,10.00,1
10,927,Male,wave2,12.48,2
11,954,Male,wave1,10.11,2
12,954,Male,wave2,12.69,2
16,978,Male,wave1,9.50,1
17,978,Male,wave2,12.36,1
18,979,Male,wave2,13.51,4
19,1002,Male,wave2,12.71,2
20,1012,Female,wave1,9.80,1
21,1012,Female,wave2,12.65,3
22,1015,Male,wave1,9.47,2
23,1015,Male,wave2,12.17,1
24,1035,Female,wave1,10.21,1
25,1035,Female,wave2,13.00,4
26,1061,Male,wave1,10.19,1
27,1061,Male,wave2,12.81,4
31,1081,Female,wave1,10.00,1
32,1107,Female,wave2,13.33,5
33,1114,Female,wave2,12.03,3
34,1131,Female,wave1,11.00,4
35,1133,Male,wave1,9.89,2
36,1133,Male,wave2,12.71,1